xpath,type,status,NextFrame,PreviousFrame,ElementImage,ElementText,CallerActivity,Tag,Operation
//android.widget.ImageButton,ImageButton,Complete,,AlexaIntroFragment,C:/Experimental/src/rsc/images/AlexaWebFragment_0,,AlexaSetupActivity,,
//android.view.View[@text= 'Forgot password?'],View,Complete,,AlexaIntroFragment,C:/Experimental/src/rsc/images/AlexaWebFragment_1,Forgot password?,AlexaSetupActivity,Dynamic,
//android.widget.EditText,EditText,Complete,,AlexaIntroFragment,C:/Experimental/src/rsc/images/AlexaWebFragment_2,,AlexaSetupActivity,,
//android.widget.EditText,EditText,Complete,,AlexaIntroFragment,C:/Experimental/src/rsc/images/AlexaWebFragment_3,,AlexaSetupActivity,,
//android.widget.CheckBox[@text= 'Show password'],CheckBox,Complete,,AlexaIntroFragment,C:/Experimental/src/rsc/images/AlexaWebFragment_4,Show password,AlexaSetupActivity,Dynamic,
//android.widget.CheckBox[@text= 'Keep me signed in. Details'],CheckBox,Complete,,AlexaIntroFragment,C:/Experimental/src/rsc/images/AlexaWebFragment_5,Keep me signed in. Details,AlexaSetupActivity,Dynamic,NetworkCall
//android.view.View[@text= 'Details'],View,Complete,,AlexaIntroFragment,C:/Experimental/src/rsc/images/AlexaWebFragment_6,Details,AlexaSetupActivity,,
//android.widget.Button[@text= 'Sign-In'],Button,Not Complete,,AlexaIntroFragment,C:/Experimental/src/rsc/images/AlexaWebFragment_7,Sign-In,AlexaSetupActivity,,
//android.view.View[@text= 'Conditions of Use'],View,Not Complete,,AlexaIntroFragment,C:/Experimental/src/rsc/images/AlexaWebFragment_8,Conditions of Use,AlexaSetupActivity,,
//android.view.View[@text= 'Privacy Notice'],View,Not Complete,,AlexaIntroFragment,C:/Experimental/src/rsc/images/AlexaWebFragment_9,Privacy Notice,AlexaSetupActivity,,
//android.widget.Button[@text= 'Create a new Amazon account'],Button,Not Complete,,AlexaIntroFragment,C:/Experimental/src/rsc/images/AlexaWebFragment_10,Create a new Amazon account,AlexaSetupActivity,,
//android.view.View[@text= 'Amazon Terms '],View,Not Complete,,AlexaIntroFragment,C:/Experimental/src/rsc/images/AlexaWebFragment_11,Amazon Terms ,AlexaSetupActivity,,
//android.view.View[@text= 'Privacy '],View,Not Complete,,AlexaIntroFragment,C:/Experimental/src/rsc/images/AlexaWebFragment_12,Privacy ,AlexaSetupActivity,,
